"latitude","longitude","Province","Division"
49.25, -123.1, "BC", "Vancouver"
49.701722, -123.15875, "BC", "Squamish"
48.422, -123.365, "BC", "Victoria"
48.778694, -123.707861, "BC", "Duncan"
49.164167, -123.936389, "BC", "Nanaimo"
49.315, -124.312, "BC", "Parksville"
49.233889, -124.805, "BC", "Port Alberni"
49.687778, -124.994444, "BC", "Courtenay"
50.024444, -125.2475, "BC", "Campbell River"
49.835278, -124.524722, "BC", "Powell River"
52.129444, -122.138333, "BC", "Williams Lake"
52.978444, -122.492667, "BC", "Quesnel"
54.312194, -130.327083, "BC", "Prince Rupert"
54.516389, -128.599722, "BC", "Terrace"
53.916944, -122.749444, "BC", "Prince George"
55.760556, -120.235556, "BC", "Dawson Creek"
56.246462, -120.847634, "BC", "Fort St. John"
60.716667, -135.05, "YT", "Whitehorse"
62.442222, -114.3975, "NT", "Yellowknife"
